time (s);space (m);BCCH_S - CAB7;TCH_Channel - CAB7;RxLev_S - CAB7;RxQualFull_S - CAB7;latitude;longitude;extended time;progressive (km);session
410.75;9439;959;971;-56;0;46.964241;16.3786201;25/02/2017 10:49:05;159.9823;20170225_104215.cwrou
411.267;9454;959;971;-63;1;46.9642487;16.3782101;25/02/2017 10:49:06;159.99683;20170225_104215.cwrou
411.737;9469;959;971;-66;0;46.9642487;16.3782101;25/02/2017 10:49:06;160.01216;20170225_104215.cwrou
412.22;9483.5;959;971;-64;0;46.9642487;16.3778;25/02/2017 10:49:07;160.02565;20170225_104215.cwrou
412.72;9498.5;959;971;-66;1;46.9642487;16.3778;25/02/2017 10:49:07;160.0406;20170225_104215.cwrou
413.19;9513.5;959;971;-68;2;46.9642601;16.3773804;25/02/2017 10:49:08;160.05392;20170225_104215.cwrou
414.094;9543;959;971;-70;2;46.9642601;16.3769703;25/02/2017 10:49:09;160.08186;20170225_104215.cwrou
414.094;9543;959;971;-66;2;46.9642601;16.3769703;25/02/2017 10:49:09;160.08186;20170225_104215.cwrou
414.564;9557;959;971;-61;0;46.9642601;16.3769703;25/02/2017 10:49:09;160.09612;20170225_104215.cwrou
567.19;14391;959;971;-68;0;46.9650688;16.3132992;25/02/2017 10:51:42;164.93227;20170225_104215.cwrou
567.61;14406;959;971;-70;0;46.9650688;16.3132992;25/02/2017 10:51:42;164.94724;20170225_104215.cwrou
568.127;14421;959;971;-65;0;46.9650688;16.3128796;25/02/2017 10:51:43;164.95929;20170225_104215.cwrou
568.58;14437;959;971;-68;0;46.9650688;16.3128796;25/02/2017 10:51:43;164.97498;20170225_104215.cwrou
569.064;14453;959;971;-70;1;46.9650803;16.3124599;25/02/2017 10:51:44;164.98955;20170225_104215.cwrou
569.517;14468;959;971;-66;0;46.9650803;16.3124599;25/02/2017 10:51:44;165.00452;20170225_104215.cwrou
570.064;14484;959;971;-66;0;46.9650917;16.3120308;25/02/2017 10:51:45;165.01898;20170225_104215.cwrou
570.33;14493;959;971;-67;0;46.9650917;16.3120308;25/02/2017 10:51:45;165.02824;20170225_104215.cwrou
570.784;14507.5;959;971;-69;0;46.9650917;16.3120308;25/02/2017 10:51:45;165.04286;20170225_104215.cwrou
571.297;14524;959;971;-74;2;46.9650917;16.3116093;25/02/2017 10:51:46;165.0598;20170225_104215.cwrou
571.75;14540;959;971;-73;1;46.9650917;16.3116093;25/02/2017 10:51:46;165.07549;20170225_104215.cwrou
